name,country,lat,lon
Lengquan,CN,23.2099,103.3874
Lebi,SO,1.1363,41.8053
Павда,RU,59.2503,59.4996
Junnar,IN,19.2,73.8833
Distington,GB,54.5973,-3.5388
Novo Santo Antônio,BR,-5.2893,-41.9325
Zhaxigang,CN,32.5098,79.6762
Burringurrah,AU,-24.6508,116.9338
Ladva-Vetka,RU,61.3621,34.4469
سپیده,IR,33.3228,52.7839
Ahmad Abad,PK,32.231,74.7548
Байбы,RU,57.4613,72.5404
Icatu,BR,-2.7758,-44.0658
Langham,CA,52.3668,-106.9679
Vindeby,DK,55.0449,10.6131
Houaytaye,LA,21.7309,102.3445
Labang,ID,4.2625,116.4957
Ciba,CN,34.0789,113.0538
Watersmeet,US,46.2677,-89.1779
Tacoaleche,MX,22.8167,-102.4167
Kilboghavn,NO,66.4884,13.2252
Laowopu,CN,42.0283,116.9806
Бурденок,RU,58.8703,48.4731
Beni Amrane,DZ,36.6677,3.5912
Knowles,US,47.3472,-114.7132
Dammer Nissar,PK,35.3871,71.6705
Playa Santa Lucía,CU,21.5542,-77.0395
Milong,CN,29.8463,101.0991
Shwenyaung,MM,20.7619,96.9371
Pajaroncillo,ES,39.95,-1.7333
科尔沁右翼中旗,CN,45.0446,121.456
Yunping,CN,33.6985,106.414
Kotzebue,US,66.8982,-162.5978
Meknès,MA,33.8935,-5.5473
Boa Fé,BR,-1.4258,-55.7576
Barentu,ER,15.1119,37.7214
Post,US,33.1909,-101.3782
Hooker,US,36.86,-101.2135
Govorikha,RU,54.3,101.7
Santa Rosa,BO,-14.6555,-68.7276
Livingston,US,45.6624,-110.561
Neutal,AT,47.5404,16.4517
no name,ML,20.5854,0.0184
Tideng Pale,ID,3.577,116.9044
Carrizal,BO,-21.4391,-65.2393
Ocilla,US,31.5944,-83.2504
Yarm,GB,54.5036,-1.3579
Pulau Untung Jawa,ID,-5.9775,106.7073
حسن آباد,IR,30.5206,52.4553
Campolina,BR,-11.8388,-54.9513
Arapgir,TR,39.0422,38.4898
Lang Chánh,VN,20.1547,105.2395
Luiza,CD,-7.1965,22.3972
Hutan,ID,0.0752,127.8557
Sungai Penuh,ID,-2.0833,101.3833
Huaraz,PE,-9.5299,-77.529
Tsant,MN,46.1833,106.7167
Tikhonkaya,RU,50.2021,85.8013
Al Mighlaf,YE,15.2871,43.1891
Кызылузень,KZ,44.2971,50.5054
Guarani das Missões,BR,-28.1408,-54.5581
Sturkö,SE,56.0833,15.7
Mers Hill,US,41.8808,-104.6175
Nova Soure,BR,-11.2333,-38.4833
Tahilt,MN,45.3466,96.6457
Бирсуат,KZ,50.7867,66.9133
Punta de Agua,AR,-27.2283,-67.7546
Спас-Лом,RU,58.951,38.8186
Yongxing,CN,26.1357,113.1097
Koumenzi,CN,43.3343,93.695
El Lindero,AR,-27.4689,-66.0111
Dhuusamareeb دوسمريب,SO,5.5362,46.3828
العامرية ,QA,24.8217,51.0754
Abadia dos Dourados,BR,-18.4856,-47.4031
unknown,PE,-2.4968,-76.136
Lékana,CG,-2.3243,14.5905
Kohima,IN,25.6619,94.1019
Pienikä,RU,63.5325,32.0814
Al Kihayfiyah,SA,27.1983,42.9869
Corral de Almaguer,ES,39.7599,-3.1645
Niğde,TR,37.8333,34.75
Qirsha,EG,23.2667,32.9333
Warud,IN,21.4731,78.2729
Dixie,US,39.8738,-118.016
Urgun,MN,44.7309,110.7817
Moynoq Shahri,UZ,43.7788,59.0304
Talavera la Real,ES,38.8572,-6.7268
Cabramurra,AU,-35.9362,148.3809
Nortkerque,FR,50.8833,2.0333
Жумыскер,KZ,48.4474,73.235
Казкаши,KZ,48.6028,57.8983
Camiña,CL,-19.3127,-69.4262
Malyn,UA,50.7723,29.2383
Kallinkangas,FI,65.8186,24.529
Kadhan,PK,24.4817,68.9862
Tupana,BR,-4.1752,-60.8066
San Ysidro,US,35.5634,-106.7706
Alatyr’,RU,54.8421,46.5813
Santa Helena,BR,-12.3494,-51.7489
Ituaçu,BR,-13.8155,-41.2982
Long Merah,ID,0.1798,114.9834
Lourenço,BR,2.3089,-51.6279
Moirones,UY,-31.6041,-54.984
Huayrapata,BO,-15.3062,-69.0805
Schuyler,US,41.4472,-97.0595
Щербаки,RU,56.016,73.473
Прииск Большая Речка,RU,50.1328,108.4682
Timgad,DZ,35.4939,6.4706
Si Mahosot,TH,13.8878,101.405
Pringsewu,ID,-5.3582,104.9744
Imarichō-kō,JP,33.2667,129.8833
Boshnyakovo,RU,49.6333,142.1667
La Máquina,CU,20.1923,-74.2271
Globe,US,33.3942,-110.7865
Aldeia Kubenkroke,BR,-8.7246,-53.3876
Province of Palawan,PH,10,118.75
Pelar,PK,26.8973,65.821
Romang,AR,-29.4995,-59.7479
Bytča,SK,49.224,18.5588
Bahonsuai,ID,-2.2177,121.7005
Manipur,IN,25,94
Whitedog,CA,50.1301,-94.9349
Perkins County,US,45.5167,-102.4588
Lomonosovo,RU,75.6334,91.4906
Mackay,US,43.9146,-113.6134
Ahwar,YE,13.5202,46.7137
El Vínculo,VE,12.0686,-69.9501
Linkou,CN,45.2901,130.267
Colonia San Miguel Arcángel,AR,-37.45,-63.1167
Garanhuns,BR,-8.8906,-36.4931
El Palmarejo de Sianori,MX,25.2218,-106.7914
ᐙᔂᓂᐲ Waswanipi,CA,49.6901,-75.9628
Kurkovichi,RU,52.2988,32.809
Tall Amushirfah,IQ,35.9101,42.0296
Martín Colman,AR,-36.4167,-59.15
Haarlem,ZA,-33.7339,23.3386
Zhushan Chengguanzhen,CN,32.2218,110.2361
Ambinany-Tsianihy,MG,-21.326,44.0127
Livelong,CA,53.4502,-108.7014
Old-Fort,CA,51.4245,-57.8223
Mmantserre,ZA,-24.9444,27.0961
Turukhansk,RU,65.8167,87.9833
Qacha’s Nek,LS,-29.921,28.8019
北炉乡,CN,41.0855,119.2875
Laton,US,36.4333,-119.6868
Descanso,US,32.8528,-116.6159
Binder Nairi,TD,9.5514,14.6213
Marathon,US,42.4417,-76.0321
Keyano,CA,53.8263,-73.5326
Тамбичозеро,RU,62.6696,36.105
Catanda,AO,-8.4477,20.8588
Betenkyos,RU,67.6479,135.5761
Ban Houakèng,LA,15.1333,105.7833
Ambo,PE,-10.1292,-76.2043
Kishangarh,IN,26.5886,74.8611
Rjukan,NO,59.8818,8.5882
Bozeman,US,45.6796,-111.0386
Robelela,BW,-21.5914,27.9858
Lishu,CN,43.3055,124.3249
Cheremkhovo,RU,53.1561,103.0675
Kuando Kubango,AO,-15.9476,19.3832
Kukës,AL,42.0769,20.4219
Вершинская,RU,57.3609,70.1165
Capão Alto,BR,-27.9383,-50.5115
阔什萨特玛乡,CN,38.3359,85.541
Радгосп,UA,46.1733,30.3248
Поляковский,RU,52.9958,127.54
Adad-Gerey,SO,2.3307,42.7191
Tinnakhil,YE,14.0309,45.2661
Pana,GA,-1.6888,12.6426
Qaranghū Tōghaī,AF,37.2153,67.6397
Huajiang,CN,25.7739,110.4703
Quetigny,FR,47.3167,5.1167
